savegame,event,unlock,progress
00,new game,vehicle added [Sixteen Impala Custom],
01,Rites of Passage,,
02,Bishop 1,,
03,Bishop 2,,
04,Bishop 3,[luxury cars club, wheels, fig],
04_2,vehicle added [Murcielago Impala Custom],,
05,Vanessa 1,,
06,Vanessa 2,,
07,Vanessa 3,[unbeatable street, wheels, cabelo],
07_2,vehicle added,[Ninja Custom],
08,Phil 1,,
09,Phil 2,,
10,Phil 3,,
11,Phil 4,[cuevito, choppers americans],
11_2,vehicle added,[CLK GTR Impala Custom],
12,Carlos 1,[class c vehicles],
13,Carlos 2,,
14,Carlos 3,[american royality car club],
15,Tournament Lexus,[Lexus],,
16,Vanessa II 1,,
17,Vanessa II 2,[performance II D],
18,Vanessa II 3,[san diego police car, class c performance 1, pearlecest color],7
19,Tournament Bel Air,[Bel Air],,
20,Tournament 300 C,[300 C],
20_2,vehicle added,[Saleens S7 Impala Custom],9
21,Dre 1,,
22,Dre 2,,
23,Dre 3,[Big Playas Car Club, Tribal Vinyls, Rims],
23_2,vehicle added,[Me Four-Twelve Impala Custom],10
24,Vito 1,[3 Level D, ],
25,Vito 2,,
26,Vito 3,[Original Riders, Rims, Vitor Rider],11
27,Roy 1,,
28,Roy 2,,
29,Roy 3,,
30,Roy 4,[Class B, ],
31,Cheng 1,,
32,Cheng 2,,
33,Cheng 3,[Vynils],
34,Naomi 1,,
35,Naomi 2,[Level 2 performance C],
36,Naomi 3,[Choppers Rims, Naomi rider],
37,Lamont 1,,
38,Lamont 2,,
39,Lamont 3,,
40,Roy II 1,,
41,Roy II 2,,
42,Roy II 3,[Atlanta Police Car, performance 1 level b, graphix Vynils, car rims],23
43,
44,
